1_1_1,1_1_1,1_1_1,1_1_1,1_1_1,1_1_5,1_1_5,1_1_5,1_1_5,1_1_5,1_1_1,1_1_1,1_1_1,1_1_1,1_1_1,1_1_1,
1_1_1,1_1_1,1_1_1,1_1_1,1_1_1,1_1_1,1_1_1,1_1_1,1_1_1,1_1_1,1_1_1,1_1_1,1_1_1,1_1_1,1_1_1,1_1_1,
1_1_1,1_1_1,1_1_1,1_1_1,1_1_1,1_1_6,1_1_6,1_1_6,1_1_6,1_1_6,1_1_1,1_1_1,1_1_1,1_1_1,1_1_1,1_1_1,
1_1_1,1_1_1,1_1_1,1_1_1,1_1_6,1_1_6,1_1_6,1_1_6,1_1_6,1_1_6,1_1_6,1_1_1,1_1_1,1_1_1,1_1_1,1_1_14,
1_1_1,1_1_1,1_1_1,1_1_6,1_1_6,1_1_6,1_1_6,1_1_6,1_1_6,1_1_6,1_1_6,1_1_6,1_1_1,1_1_1,1_1_14,1_1_14,
1_1_1,1_1_1,1_1_1,1_1_6,1_1_6,1_1_6,1_1_6,1_1_6,1_1_6,1_1_6,1_1_6,1_1_6,1_1_1,1_1_1,1_1_14,1_1_14,
1_1_1,1_1_1,1_1_1,1_1_6,1_1_6,1_1_6,1_1_6,1_1_6,1_1_6,1_1_6,1_1_6,1_1_6,1_1_1,1_1_1,1_1_14,1_1_14,
1_1_1,1_1_1,1_1_1,1_1_6,1_1_6,1_1_6,1_1_6,1_1_6,1_1_6,1_1_6,1_1_6,1_1_6,1_1_1,1_1_1,1_1_14,1_1_14,
1_1_1,1_1_1,1_1_1,1_1_6,1_1_6,1_1_6,1_1_6,1_1_6,1_1_6,1_1_6,1_1_6,1_1_6,1_1_1,1_1_1,1_1_14,1_1_14,
1_1_1,1_1_1,1_1_1,1_1_1,1_1_6,1_1_6,1_1_6,1_1_6,1_1_6,1_1_6,1_1_6,1_1_1,1_1_1,1_1_1,1_1_1,1_1_14,
1_1_1,1_1_1,1_1_1,1_1_1,1_1_1,1_1_7,1_1_7,1_1_7,1_1_7,1_1_7,1_1_1,1_1_1,1_1_1,1_1_1,1_1_1,1_1_1,
1_1_1,1_1_1,1_1_1,1_1_1,1_1_7,1_1_7,1_1_7,1_1_7,1_1_7,1_1_7,1_1_7,1_1_1,1_1_1,1_1_1,1_1_1,1_1_1,
1_1_1,1_1_1,1_1_1,1_1_7,1_1_7,1_1_7,1_1_7,1_1_7,1_1_7,1_1_7,1_1_7,1_1_7,1_1_1,1_1_1,1_1_1,1_1_15,
1_1_1,1_1_1,1_1_1,1_1_7,1_1_7,1_1_7,1_1_7,1_1_7,1_1_7,1_1_7,1_1_7,1_1_7,1_1_1,1_1_1,1_1_15,1_1_15,
1_1_1,1_1_1,1_1_1,1_1_7,1_1_7,1_1_7,1_1_7,1_1_7,1_1_7,1_1_7,1_1_7,1_1_7,1_1_1,1_1_1,1_1_15,1_1_15,
1_1_1,1_1_1,1_1_1,1_1_7,1_1_7,1_1_7,1_1_7,1_1_7,1_1_7,1_1_7,1_1_7,1_1_7,1_1_1,1_1_1,1_1_15,1_1_15,
